,Unnamed: 0,company_name,Date,Share Type,Amount Raised,Raised to Date,Issue Price,Post Money Valuation,Key Investors,Price Per Share,Shares Outstanding,Percent Shares Outstanding,Liquidation Pref Order,Liquidation Pref As Multiplier,Conversion Ratio,Participating,Participation Cap,Dividend Rate,Cumulative,Investors
28,28,turo,Mar 2018,Series D-1,$5MM,$215.49MM,$9.34,$695.2MM,"Daimler, SK Group, Liberty Mutual Strategic Ventures",$0.90,"5,885,733",45.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"August Capital, Fontinalis Partners, GV"
29,29,turo,Sep 2017,Series D,$112.96MM,$210.49MM,$9.34,$695.2MM,"Daimler, SK Group, Liberty Mutual Strategic Ventures",$0.90,"5,885,733",45.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"August Capital, Fontinalis Partners, GV"
30,30,turo,Nov 2015,Series C,$44.81MM,$97.53MM,$4.78,$294.84MM,"Kleiner Perkins Caufield & Byers, August Capital, Canaan Partners",$0.90,"5,885,733",45.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"August Capital, Fontinalis Partners, GV"
31,31,turo,Aug 2014,Series B,$34.2MM,$52.73MM,$2.10,$109.44MM,"Trinity Ventures, Canaan Partners, Maniv Mobility",$0.90,"5,885,733",45.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"August Capital, Fontinalis Partners, GV"
32,32,turo,Sep 2013,Series A-2,$13.22MM,$18.53MM,$1.14,$39.9MM,"Expansion Venture Capital, Norwest Venture Partners, Webb Investment Network",$0.90,"5,885,733",45.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"August Capital, Fontinalis Partners, GV"
33,33,turo,May 2011,Series A,$5.31MM,$5.31MM,$0.90,$11.8MM,"August Capital, Fontinalis Partners, GV",$0.90,"5,885,733",45.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"August Capital, Fontinalis Partners, GV"
34,34,airtable,Sep 2020,Series D,$190MM,$366.37MM,$56.54,$2.59B,"Thrive Capital, Benchmark, Coatue Management",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
35,35,airtable,Mar 2018,Series B,$21.56MM,$32.2MM,$3.17,$271.49MM,"Caffeinated Capital, CRV, Freestyle Capital",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
36,36,airtable,Jun 2015,Series A,$7.64MM,$9.84MM,$1.35,$28.51MM,"Tuesday Capital, Caffeinated Capital, CRV",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
37,37,airtable,Jun 2015,Series A-1,$800K,$3MM,$1.22,$28.51MM,"Tuesday Capital, Caffeinated Capital, CRV",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
38,38,airtable,Feb 2015,Series Seed,$2.2MM,$2.2MM,$0.69,$7.33MM,"Caffeinated Capital, Freestyle Capital, Data Collective",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
39,39,airtable,Dec 2021,Series F,$735MM,$1.37B,$187.28,$11.75B,"XN, Franklin Templeton, J.P. Morgan",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
40,40,airtable,Mar 2021,Series E,$270MM,$636.37MM,$106.97,$5.77B,"Greenoaks Capital, WndrCo, Caffeinated Capital",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
41,41,airtable,Nov 2018,Series C,$103.02MM,$171.07MM,$26.73,$1.08B,"Benchmark, Caffeinated Capital, Coatue Management",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
42,42,airtable,Nov 2018,Series C-1,$5.3MM,$73.35MM,$8.05,$1.08B,"Benchmark, Caffeinated Capital, Coatue Management",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
43,43,airtable,Mar 2018,Series B-1,$35.85MM,$46.49MM,$7.80,$271.49MM,"Caffeinated Capital, CRV, Freestyle Capital",$7.80,"4,597,210",13.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Caffeinated Capital, CRV, Freestyle Capital, Olam Capital, Slow Ventures"
44,44,tecovas,Jan 2022,Series C,$35MM,$96.69MM,$23.13,$633.7MM,"Elephant, Access Capital, Seamless Capital",$0.45,"4,631,570",35.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Blue Collective
45,45,tecovas,Feb 2020,Series B,$15MM,$49.69MM,$8.23,$206.28MM,"Elephant, Plus Capital",$0.45,"4,631,570",35.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Blue Collective
46,46,tecovas,Feb 2020,Series B-1,$12MM,$46.69MM,$6.73,$206.28MM,"Elephant, Plus Capital",$0.45,"4,631,570",35.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Blue Collective
47,47,tecovas,Jun 2019,Series A,$30MM,$34.69MM,$6.49,$134.88MM,Elephant,$0.45,"4,631,570",35.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Blue Collective
48,48,tecovas,Oct 2017,Series Seed II,$2.61MM,$4.69MM,$1.20,$18.1MM,YETI Capital,$0.45,"4,631,570",35.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Blue Collective
49,49,tecovas,Oct 2016,Series Seed,$2.08MM,$2.08MM,$0.45,$5.95MM,Blue Collective,$0.45,"4,631,570",35.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Blue Collective
50,50,datastax,Jun 2022,Series F-2,$115MM,$348.86MM,$8.66,$1.71B,"Goldman Sachs, Rokos Capital Management, EDB Investments",$0.40,"6,457,208",30.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Lightspeed Venture Partners, Sequoia Capital"
51,51,datastax,May 2021,Series F-1,$37.57MM,$233.86MM,$7.53,$1.29B,Goldman Sachs,$0.40,"6,457,208",30.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Lightspeed Venture Partners, Sequoia Capital"
52,52,datastax,Sep 2014,Series E,$111.97MM,$196.29MM,$7.18,$937.65MM,"Kleiner, Perkins, Caufield & Byers",$0.40,"6,457,208",30.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Lightspeed Venture Partners, Sequoia Capital"
53,53,datastax,Aug 2013,Series D,$45.3MM,$84.32MM,$3.92,$377.76MM,"Scale Venture Partners, DFJ Growth, Next World Capital",$0.40,"6,457,208",30.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Lightspeed Venture Partners, Sequoia Capital"
54,54,datastax,Oct 2012,Series C,$25MM,$39.02MM,$1.74,$146.66MM,"Meritech Capital Partners, Lightspeed Venture Partners, Crosslink Capital",$0.40,"6,457,208",30.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Lightspeed Venture Partners, Sequoia Capital"
55,55,datastax,Sep 2011,Series B,$11.45MM,$14.02MM,$0.45,$28.7MM,"Crosslink Capital, Lightspeed Venture Partners",$0.40,"6,457,208",30.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Lightspeed Venture Partners, Sequoia Capital"
56,56,datastax,Oct 2010,Series A,$2.57MM,$2.57MM,$0.40,$8.58MM,"Lightspeed Venture Partners, Sequoia Capital",$0.40,"6,457,208",30.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Lightspeed Venture Partners, Sequoia Capital"
57,57,consensys,Mar 2022,Series D,$450MM,$704.73MM,$140.06,$7.07B,"ParaFi Capital, Temasek, SoftBank",$2.52,"10,875,000",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"J.P. Morgan, Mastercard, UBS AG, Protocol Labs, Maker Foundation, Fenbushi, The LAO, Alameda Research, CMT Digital, Greater Bay Area Homeland Development Fund"
58,58,consensys,Nov 2021,Series-C-1-NV,$116.63MM,$171.35MM,$68.40,$3.2B,"Marshall Wace, Third Point, ParaFi Capital",$2.52,"10,875,000",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"J.P. Morgan, Mastercard, UBS AG, Protocol Labs, Maker Foundation, Fenbushi, The LAO, Alameda Research, CMT Digital, Greater Bay Area Homeland Development Fund"
59,59,consensys,Nov 2021,Series C-1-V,$55.05MM,$109.78MM,$68.40,$3.2B,"Marshall Wace, Third Point, ParaFi Capital",$2.52,"10,875,000",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"J.P. Morgan, Mastercard, UBS AG, Protocol Labs, Maker Foundation, Fenbushi, The LAO, Alameda Research, CMT Digital, Greater Bay Area Homeland Development Fund"
60,60,consensys,Nov 2021,Series C-2-NV,$9.08MM,$63.81MM,$11.28,$3.2B,"Marshall Wace, Third Point, ParaFi Capital",$2.52,"10,875,000",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"J.P. Morgan, Mastercard, UBS AG, Protocol Labs, Maker Foundation, Fenbushi, The LAO, Alameda Research, CMT Digital, Greater Bay Area Homeland Development Fund"
61,61,consensys,Nov 2021,Series C-2-V,$19.24MM,$73.96MM,$11.28,$3.2B,"Marshall Wace, Third Point, ParaFi Capital",$2.52,"10,875,000",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"J.P. Morgan, Mastercard, UBS AG, Protocol Labs, Maker Foundation, Fenbushi, The LAO, Alameda Research, CMT Digital, Greater Bay Area Homeland Development Fund"
62,62,consensys,Apr 2021,Series B,$2.00,$2.00,$2.52,$91.21MM,"J.P. Morgan, Mastercard, UBS AG",$2.52,"10,875,000",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"J.P. Morgan, Mastercard, UBS AG, Protocol Labs, Maker Foundation, Fenbushi, The LAO, Alameda Research, CMT Digital, Greater Bay Area Homeland Development Fund"
63,63,consensys,Apr 2021,Series A-NV,$27.36MM,$27.36MM,$2.52,$91.21MM,"J.P. Morgan, Mastercard, UBS AG",$2.52,"10,875,000",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"J.P. Morgan, Mastercard, UBS AG, Protocol Labs, Maker Foundation, Fenbushi, The LAO, Alameda Research, CMT Digital, Greater Bay Area Homeland Development Fund"
64,64,consensys,Apr 2021,Series A-V,$27.36MM,$27.36MM,$2.52,$91.21MM,"J.P. Morgan, Mastercard, UBS AG",$2.52,"10,875,000",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"J.P. Morgan, Mastercard, UBS AG, Protocol Labs, Maker Foundation, Fenbushi, The LAO, Alameda Research, CMT Digital, Greater Bay Area Homeland Development Fund"
65,65,figma,Jun 2021,Series E,$200MM,$333.01MM,$21.30,$10.38B,"Durable Capital Partners, Morgan Stanley",$0.09,"45,568,395",27.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Adam Nash, Index Ventures, Kaplan Group Investments, LocalGlobe, O'Reilly AlphaTech Ventures"
66,66,figma,Apr 2020,Series D,$50MM,$133.01MM,$4.62,$2.06B,"Andreessen Horowitz, Index Ventures, Greylock Partners",$0.09,"45,568,395",27.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Adam Nash, Index Ventures, Kaplan Group Investments, LocalGlobe, O'Reilly AlphaTech Ventures"
67,67,figma,Feb 2019,Series C,$40MM,$83.01MM,$1.10,$425.15MM,"Andrew Wilson, Coatue Management, Dan Rose",$0.09,"45,568,395",27.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Adam Nash, Index Ventures, Kaplan Group Investments, LocalGlobe, O'Reilly AlphaTech Ventures"
68,68,figma,Feb 2018,Series B,$25MM,$43.01MM,$0.33,$115MM,"FUEL Capital, Greylock Partners, Index Ventures",$0.09,"45,568,395",27.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Adam Nash, Index Ventures, Kaplan Group Investments, LocalGlobe, O'Reilly AlphaTech Ventures"
69,69,figma,Dec 2015,Series A,$14MM,$18MM,$0.20,$48.37MM,"Adam Nash, DJ Patil, Greylock Partners",$0.09,"45,568,395",27.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Adam Nash, Index Ventures, Kaplan Group Investments, LocalGlobe, O'Reilly AlphaTech Ventures"
70,70,figma,Jun 2013,Series Seed,$4MM,$4MM,$0.09,$14.82MM,"Adam Nash, Index Ventures, Kaplan Group Investments",$0.09,"45,568,395",27.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Adam Nash, Index Ventures, Kaplan Group Investments, LocalGlobe, O'Reilly AlphaTech Ventures"
71,71,pinecone,Apr 2023,Series B,$100MM,$138.36MM,$6.90,$722.88MM,"Andreessen Horowitz, ICONIQ Growth, Menlo Ventures",$0.44,"11,689,400",13.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Wing Venture Capital
72,72,pinecone,Mar 2022,Series A-1,$28MM,$38.16MM,$2.04,$176.27MM,"Menlo Ventures, Tiger Global, Wing Venture Capital",$0.44,"11,689,400",13.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Wing Venture Capital
73,73,pinecone,Mar 2022,Series A-2,$199.99K,$10.36MM,$1.63,$176.27MM,"Menlo Ventures, Tiger Global, Wing Venture Capital",$0.44,"11,689,400",13.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Wing Venture Capital
74,74,pinecone,Jan 2021,Series Seed-1,$5MM,$5MM,$0.55,$38.17MM,Wing Venture Capital,$0.44,"11,689,400",13.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Wing Venture Capital
75,75,pinecone,Jan 2021,Series Seed-2,$5.16MM,$5.16MM,$0.44,$38.17MM,Wing Venture Capital,$0.44,"11,689,400",13.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Wing Venture Capital
76,76,boom-supersonic,Apr 2021,Series C-1,$5MM,$402.65MM,$52.74,$1.37B,Undisclosed Investors,$9.14,"4,580,230",30.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"8VC, Caffeinated Capital, Palm Drive Ventures, RRE Ventures, YC Continuity"
77,77,boom-supersonic,Dec 2020,Series C,$241.7MM,$397.65MM,$52.74,$1.37B,WRVI Capital,$9.14,"4,580,230",30.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"8VC, Caffeinated Capital, Palm Drive Ventures, RRE Ventures, YC Continuity"
78,78,boom-supersonic,Apr 2020,Series B-1,$3.13MM,$155.96MM,$45.52,$888.02MM,Undisclosed Investors,$9.14,"4,580,230",30.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"8VC, Caffeinated Capital, Palm Drive Ventures, RRE Ventures, YC Continuity"
79,79,boom-supersonic,Jan 2019,Series B,$110.96MM,$152.82MM,$43.12,$881.36MM,"Emerson Capital, Y Combinator Continuity, Caffeinated Capital",$9.14,"4,580,230",30.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"8VC, Caffeinated Capital, Palm Drive Ventures, RRE Ventures, YC Continuity"
80,80,boom-supersonic,Mar 2017,Series A,$41.87MM,$41.87MM,$9.14,$136.87MM,"8VC, Caffeinated Capital, Palm Drive Ventures",$9.14,"4,580,230",30.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"8VC, Caffeinated Capital, Palm Drive Ventures, RRE Ventures, YC Continuity"
81,81,sambanova-systems,Apr 2021,Series D-3,$38.68MM,$448.98MM,$95.02,$5.11B,"SoftBank, Temasek, GIC",$0.79,"5,090,937",22.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Walden International
82,82,sambanova-systems,Apr 2021,Series D-2,$148.69MM,$558.98MM,$95.02,$5.11B,"SoftBank, Temasek, GIC",$0.79,"5,090,937",22.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Walden International
83,83,sambanova-systems,Apr 2021,Series D-1,$488.63MM,$898.93MM,$95.02,$5.11B,"SoftBank, Temasek, GIC",$0.79,"5,090,937",22.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Walden International
84,84,sambanova-systems,Feb 2020,Series C-2,$50MM,$252.2MM,$53.24,$2.5B,"BlackRock, GV, Intel Capital",$0.79,"5,090,937",22.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Walden International
85,85,sambanova-systems,Feb 2020,Series C-1,$158.1MM,$360.3MM,$53.24,$2.5B,"BlackRock, GV, Intel Capital",$0.79,"5,090,937",22.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Walden International
86,86,sambanova-systems,Apr 2019,Series B,$141.6MM,$202.2MM,$22.07,$883.28MM,"Intel Capital, GV, Walden International",$0.79,"5,090,937",22.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Walden International
